id,first,follow_1,follow_2,follow_3,follow_4,follow_5,follow_6,follow_7
sub001	,"(0.10416666666666667, 69.714, 0.0, 0.0)","(0.3451388888888889, 69.714, 5.188, 7.441833778007287)","(5.504861111111111, 69.714, 1.238, 1.775826950110451)","(10.822916666666666, 69.714, -6.883, -9.873196201623777)","(17.73125, 69.714, -25.685, -36.84338870241272)",,,
sub002,"(0.125, 47.5, 0.0, 0.0)","(0.6215277777777778, 47.5, 4.771, 10.044210526315789)","(2.884027777777778, 47.5, 0.248, 0.5221052631578947)","(18.66736111111111, 47.5, -34.445, -72.51578947368421)","(46.63263888888889, 47.5, -47.48, -99.9578947368421)",,,
sub003,"(0.08333333333333333, 86.396, 0.0, 0.0)","(0.39652777777777776, 86.396, 19.646, 22.7394786795685)","(1.6500000000000001, 86.396, 16.867, 19.522894578452707)",,,,,
sub004,"(0.041666666666666664, 45.498, 0.0, 0.0)","(0.7076388888888889, 45.498, -5.621, -12.354389203921052)","(3.49375, 45.498, -28.876, -63.46652600114291)","(9.479166666666666, 45.498, -37.057, -81.4475361554354)",,,,
sub005,"(0.20833333333333334, 14.832, 0.0, 0.0)","(1.1027777777777776, 14.832, 9.64, 64.99460625674219)","(4.08125, 14.832, 10.645, 71.77049622437973)",,,,,
sub006,"(1.0, 171.129, 0.0, 0.0)","(1.9944444444444445, 171.129, -23.037, -13.461774450852865)","(5.0680555555555555, 171.129, -97.042, -56.70692869122125)","(7.174305555555556, 171.129, -109.254, -63.843065757411075)","(11.902083333333332, 171.129, -152.583, -89.16256157635468)",,,
sub007,"(0.75, 29.444, 0.0, 0.0)","(1.8368055555555554, 29.444, -0.729, -2.475886428474392)","(4.8805555555555555, 29.444, -2.101, -7.135579404972151)","(8.029166666666667, 29.444, -8.923, -30.304985735633743)","(11.810416666666667, 29.444, -29.078, -98.75696236924331)","(12.87638888888889, 29.444, -29.096, -98.81809536747724)","(17.063194444444445, 29.444, -29.426, -99.93886700176606)",
sub008,"(0.08333333333333333, 27.62, 0.0, 0.0)","(0.4270833333333333, 27.62, 5.878, 21.281679942070962)","(4.09375, 27.62, 9.239, 33.45039826212889)","(7.230555555555555, 27.62, 2.678, 9.695872556118754)",,,,
sub009,"(0.02791666666666667, 41.341, 0.0, 0.0)","(1.6688888888888889, 41.341, 15.272, 36.941535037855886)","(2.756388888888889, 41.341, 12.572, 30.410488377155847)",,,,,
sub010,"(0.041666666666666664, 37.072, 0.0, 0.0)","(0.625, 37.072, -9.006, -24.29326715580492)","(1.638888888888889, 37.072, -21.666, -58.44302977988779)","(8.808333333333334, 37.072, -30.266, -81.64113077255071)","(39.64791666666667, 37.072, -37.072, -100.0)",,,
sub011,"(0.041666666666666664, 4.46, 0.0, 0.0)","(0.7145833333333332, 4.46, 0.297, 6.6591928251121075)","(13.857638888888888, 4.46, -4.46, -100.0)",,,,,
sub012,"(0.08333333333333333, 62.922, 0.0, 0.0)","(0.48055555555555557, 62.922, 5.242, 8.330949429452337)","(1.211111111111111, 62.922, 0.386, 0.6134579320428467)","(2.983333333333333, 62.922, -5.175, -8.224468389434538)","(7.202083333333333, 62.922, -3.788, -6.020151934140682)","(20.052777777777777, 62.922, -36.271, -57.644385111725626)","(52.99166666666667, 62.922, -62.922, -100.0)",
sub013,"(0.125, 13.419, 0.0, 0.0)","(1.1027777777777776, 13.419, 0.903, 6.729264475743349)","(8.096527777777778, 13.419, -1.864, -13.890751918920932)","(21.394444444444446, 13.419, -13.419, -100.0)","(31.811111111111114, 13.419, -13.419, -100.0)",,,
sub014,"(0.041666666666666664, 35.235, 0.0, 0.0)","(0.975, 35.235, -2.712, -7.696892294593444)","(9.966666666666667, 35.235, -13.341, -37.862920391656026)",,,,,
sub015,"(0.20833333333333334, 33.313, 0.0, 0.0)","(7.015277777777778, 33.313, 7.294, 21.89535616726203)","(13.977083333333333, 33.313, -23.975, -71.96890102962807)","(26.690972222222225, 33.313, -33.303, -99.96998168883019)",,,,
sub016,"(0.041666666666666664, 51.028, 0.0, 0.0)","(0.5555555555555556, 51.028, 0.115, 0.2253664654699381)","(5.3062499999999995, 51.028, 63.514, 124.46891902484911)",,,,,
sub017,"(0.08333333333333333, 26.284, 0.0, 0.0)","(0.6194444444444445, 26.284, 9.102, 34.62943235428397)","(7.575694444444444, 26.284, 1.195, 4.5464921625323385)","(19.821527777777778, 26.284, -19.889, -75.66960888753614)",,,,
sub018,"(0.020833333333333332, 14.126, 0.0, 0.0)","(0.6493055555555556, 14.126, 3.614, 25.58402944924253)","(1.6013888888888888, 14.126, 3.102, 21.959507291519184)","(9.835416666666667, 14.126, -1.499, -10.611638114115815)",,,,
sub019,"(0.375, 86.62, 0.0, 0.0)","(0.7631944444444444, 86.62, 0.726, 0.8381436157931194)","(1.7763888888888888, 86.62, -3.576, -4.12837681828677)","(12.370833333333332, 86.62, -40.22, -46.43269452782267)","(33.578472222222224, 86.62, -68.578, -79.17109212652967)","(74.34861111111111, 86.62, -86.62, -100.0)",,
sub020,"(0.02791666666666667, 3.775, 0.0, 0.0)","(0.25430555555555556, 3.775, -1.169, -30.96688741721854)","(1.5133333333333334, 3.775, -0.606, -16.05298013245033)","(30.36333333333333, 3.775, -3.775, -100.0)","(69.51402777777778, 3.775, -3.775, -100.0)",,,
sub021,"(0.041666666666666664, 45.872, 0.0, 0.0)","(1.2201388888888889, 45.872, -11.597, -25.28121730031392)","(3.957638888888889, 45.872, -20.456, -44.59365190094175)","(13.198611111111111, 45.872, -41.515, -90.50183118242064)",,,,
sub022,"(0.041666666666666664, 5.07, 0.0, 0.0)","(0.8944444444444444, 5.07, -0.38, -7.495069033530571)","(13.89861111111111, 5.07, -5.07, -100.0)",,,,,
